Rok;Miesi¹c;Zarobki;Wydatki;Liczba osób_<500;Œredni wiek_<500;Liczba wypadków_<500;Liczba osób_500-700;Œredni wiek_500-700;Liczba wypadków_500-700;Liczba osób_>700;Œredni wiek_>700;Liczba wypadków_>700;Liczba wypadków mê¿czyzn;Liczba wypadków kobiet
1;1;382664925;4898612;711583;61;31;257369;56;10;0;0;0;20;21
1;2;0;4687916;690987;60;25;251016;55;8;0;0;0;17;16
1;3;0;4767605;672619;59;15;245688;55;13;0;0;0;15;13
1;4;0;4790557;656829;59;27;240788;54;8;0;0;0;19;16
1;5;0;4854746;642623;58;32;236527;53;13;0;0;0;20;25
1;6;0;4708001;630466;57;26;232868;52;10;0;0;0;19;17
1;7;0;4907058;619496;56;29;229691;52;10;0;0;0;27;12
1;8;0;4817683;610186;56;23;226779;51;8;0;0;0;15;16
1;9;0;4627667;601753;55;17;224310;51;8;0;0;0;12;13
1;10;0;4563110;594328;55;16;222204;50;4;0;0;0;11;9
1;11;0;4687905;587998;54;20;220200;50;10;0;0;0;17;13
1;12;0;4796316;582355;54;33;218613;50;7;0;0;0;23;17
2;1;389865895;4968715;712034;56;24;267055;51;12;23;33;0;19;17
2;2;0;4915737;702841;55;25;264282;51;12;21;30;0;17;20
2;3;0;5035747;694431;55;35;261925;50;11;22;30;0;28;18
2;4;0;4818323;687126;55;19;259721;50;10;22;30;0;11;18
2;5;0;5018874;680765;54;34;257830;50;13;21;31;0;26;21
2;6;0;4796997;675287;54;31;256207;49;7;22;30;0;18;20
2;7;0;4975416;670394;54;29;254855;49;14;21;29;0;27;16
2;8;0;4874564;666263;53;22;253541;49;13;22;30;0;18;17
2;9;0;4722324;662467;53;26;252467;49;5;22;30;0;20;11
2;10;0;4848808;659174;53;24;251482;48;10;21;29;0;18;16
2;11;0;4883510;656286;53;23;250616;48;13;22;30;0;22;14
2;12;0;4864378;653715;52;22;249832;48;16;22;30;0;19;19
3;1;397201501;4714254;718261;54;31;274782;50;4;46;32;0;14;21
3;2;0;5152769;712850;54;36;273104;49;13;46;32;0;27;22
3;3;0;4728490;708210;54;22;271685;49;7;46;32;0;11;18
3;4;0;4990898;704031;53;24;270572;49;16;46;32;0;17;23
3;5;0;5146593;700501;53;37;269488;49;14;46;32;0;19;32
3;6;0;4672565;697362;53;27;268616;49;4;46;32;0;13;18
3;7;0;5115768;694686;53;36;267751;49;14;46;32;0;29;21
3;8;0;4586298;692368;53;19;267043;48;9;46;32;0;12;16
3;9;0;4802255;690264;52;25;266457;48;11;46;32;0;16;20
3;10;0;4969924;688563;52;25;265928;48;15;46;32;0;29;11
3;11;0;4732362;687033;52;13;265479;48;11;46;32;0;11;13
3;12;0;4954981;685671;52;29;265006;48;14;46;32;0;22;21
4;1;400766102;4763635;720754;54;28;278703;49;8;79;37;0;17;19
4;2;0;4674591;716865;53;18;277637;49;12;79;37;0;15;15
4;3;0;5050727;713686;53;25;276566;49;18;77;37;0;29;14
4;4;0;4858956;711000;53;26;275631;49;10;79;37;0;23;13
4;5;0;4978314;708517;53;27;274953;49;17;79;37;0;21;23
4;6;0;4657415;706401;53;20;274291;49;5;79;37;0;15;10
4;7;0;4937989;704543;53;37;273757;48;10;79;37;0;23;24
4;8;0;4854459;702975;53;32;273244;48;10;79;37;0;19;23
4;9;0;4645740;701630;52;22;272797;48;8;79;37;0;19;11
4;10;0;5018740;700510;52;32;272474;48;14;78;37;0;24;22
4;11;0;4690149;699485;52;22;272164;48;10;79;37;0;14;18
4;12;0;4822977;698542;52;32;271960;48;9;79;37;0;26;15
5;1;401807897;5095261;720857;54;41;279961;49;14;112;38;0;26;29
5;2;0;4804622;717827;53;33;278932;49;8;111;37;0;23;18
5;3;0;5010279;715185;53;30;278191;49;13;112;38;0;23;20
5;4;0;4774952;713016;53;32;277478;49;11;112;38;0;21;22
5;5;0;4865854;711073;53;25;276901;49;12;112;38;0;20;17
5;6;0;5135357;709282;53;28;276457;49;18;112;38;0;27;19
5;7;0;4884773;707908;53;26;275954;49;11;112;38;0;26;11
5;8;0;4980762;706726;53;24;275531;49;17;112;38;0;21;20
5;9;0;4859241;705564;53;26;275329;49;15;111;38;0;21;20
5;10;0;5235648;704626;53;37;275065;49;20;112;38;0;39;18
5;11;0;4996132;703824;53;28;274877;49;14;112;38;0;24;18
